quote
"Stay focused and never give up."
"Discipline is the bridge between goals and accomplishment."
"Work hard in silence. Let your success make the noise."
"Success doesn’t come from what you do occasionally, it comes from what you do consistently."
"Focus on being productive instead of busy."
"Do something today that your future self will thank you for."
"The way to get started is to quit talking and begin doing."
